,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GOOGL,Alphabet Inc.,"1,728.20B",1.29%,14513157,307.39B
1,META,"Meta Platforms, Inc.","1,274.07B",-0.45%,7865758,134.90B
2,NFLX,"Netflix, Inc.",264.45B,0.03%,1173969,33.72B
3,DIS,The Walt Disney Company,206.29B,0.49%,4505684,88.94B
4,TMUS,"T-Mobile US, Inc.",194.27B,0.11%,1559668,78.56B
5,CMCSA,Comcast Corporation,171.52B,0.68%,6612794,121.57B
6,VZ,Verizon Communications Inc.,168.72B,0.02%,6787114,133.97B
7,T,AT&T Inc.,123.03B,-0.20%,15322978,122.43B
8,RELX,RELX PLC,82.70B,0.09%,415754,11.60B
9,NTES,"NetEase, Inc.",70.01B,2.67%,794245,14.59B
10,AMX,"América Móvil, SAB de CV",59.43B,1.68%,679583,36.68B
11,DASH,"DoorDash, Inc.",52.54B,1.95%,1474321,8.64B
12,SPOT,Spotify Technology S.A.,51.19B,-0.10%,591241,14.72B
13,CHTR,"Charter Communications, Inc.",42.80B,1.46%,469143,54.61B
14,BIDU,"Baidu, Inc.",36.80B,3.56%,3692339,18.98B
15,EA,Electronic Arts Inc.,36.36B,1.45%,793047,7.66B
16,BCE,BCE Inc.,33.04B,-1.11%,1449812,18.55B
17,ORAN,Orange S.A.,30.38B,-0.17%,681665,46.25B
18,CHT,"Chunghwa Telecom Co., Ltd.",30.04B,-0.47%,27331,7.26B
19,RBLX,Roblox Corporation,25.78B,-0.55%,3385228,2.80B
20,TU,TELUS Corporation,25.28B,-1.52%,1369506,15.12B
21,TTWO,"Take-Two Interactive Software, Inc.",24.82B,0.56%,605375,5.40B
22,TLK,Telkom Indonesia (Persero) Tbk PT,24.69B,0.32%,46423,9.48B
23,VOD,Vodafone Group PLC,24.42B,-4.68%,10021532,47.57B
24,PINS,"Pinterest, Inc.",23.68B,-0.76%,3485024,3.06B
25,LYV,"Live Nation Entertainment, Inc.",23.52B,1.94%,1351043,22.75B
26,RCI,Rogers Communications Inc.,23.05B,-0.92%,357227,14.52B
27,WBD,"Warner Bros. Discovery, Inc.",21.62B,0.40%,10288437,41.32B
28,SNAP,Snap Inc.,19.49B,1.61%,21976704,4.61B
29,OMC,Omnicom Group Inc.,18.78B,1.18%,745229,14.69B
30,TME,Tencent Music Entertainment Group,18.45B,0.94%,5151629,3.89B
31,WMG,Warner Music Group Corp.,17.58B,-2.30%,488842,6.30B
32,VIV,Telefônica Brasil S.A.,17.55B,-0.29%,392066,10.70B
33,FWONK,Formula One Group - Series C,16.42B,-1.16%,846173,-
34,FWONA,Formula One Group - Series A,16.41B,-1.02%,62803,12.53B
35,SIRI,Sirius XM Holdings Inc.,15.79B,1.34%,14077121,8.95B
36,NWSA,News Corporation,15.15B,0.30%,1284735,9.97B
37,FOXA,Fox Corporation,13.37B,0.85%,1901451,14.56B
38,Z,"Zillow Group, Inc.",13.10B,0.18%,1477596,1.95B
39,IPG,"The Interpublic Group of Companies, Inc.",12.33B,2.03%,1921722,10.89B
40,TWLO,Twilio Inc.,11.36B,0.23%,1556260,4.15B
41,LSXMK,Liberty SiriusXM Group - Series C,9.88B,0.80%,1252219,-
42,LSXMA,Liberty SiriusXM Group - Series A,9.87B,0.60%,996017,-
43,WPP,WPP plc,9.87B,-0.61%,58868,18.79B
44,LSXMB,Liberty SiriusXM Group - Series B,9.86B,2.36%,1196,-
45,TIMB,TIM S.A.,9.39B,0.57%,113854,4.07B
46,ROKU,"Roku, Inc.",9.20B,0.72%,2394085,3.48B
47,MTCH,"Match Group, Inc.",8.99B,-0.33%,3601802,3.36B
48,PSO,Pearson plc,8.98B,0.46%,375827,4.65B
49,SKM,"SK Telecom Co.,Ltd",8.53B,0.79%,141105,9.72B
50,LBRDK,Liberty Broadband Corporation,8.32B,1.25%,380971,981.00M
51,PARA,Paramount Global,7.97B,0.65%,5727410,29.65B
52,EDR,"Endeavor Group Holdings, Inc.",7.43B,0.34%,911057,5.96B
53,KT,KT Corporation,7.19B,0.21%,305058,20.80B
54,NYT,The New York Times Company,7.19B,1.03%,548306,2.43B
55,TKO,"TKO Group Holdings, Inc.",7.10B,-0.10%,574354,1.67B
56,LBTYK,Liberty Global plc,6.76B,-0.71%,844022,7.49B
57,FYBR,"Frontier Communications Parent, Inc.",6.04B,0.12%,399921,5.74B
58,NXST,"Nexstar Media Group, Inc.",5.53B,2.43%,216471,4.93B
59,PHI,PLDT Inc.,5.51B,0.17%,246577,3.68B
60,BILI,Bilibili Inc.,5.46B,-1.26%,6316567,3.18B
61,IAC,IAC Inc.,4.50B,-0.30%,221246,4.37B
62,MSGS,Madison Square Garden Sports Corp.,4.43B,0.23%,33449,879.61M
63,TKC,Turkcell Iletisim Hizmetleri A.S.,4.25B,-0.72%,127209,3.29B
64,IQ,"iQIYI, Inc.",4.11B,-1.63%,4059719,4.50B
65,IRDM,Iridium Communications Inc.,3.48B,1.69%,682172,790.72M
66,ATHM,Autohome Inc.,3.35B,-,188181,985.69M
67,LLYVA,Liberty Live Group - Series A,3.30B,0.45%,26400,-
68,CCOI,"Cogent Communications Holdings, Inc.",3.25B,-1.39%,289058,940.92M
69,TIGO,Millicom International Cellular S.A.,3.12B,1.76%,32717,5.66B
70,ZD,"Ziff Davis, Inc.",3.09B,-0.46%,59835,1.36B
71,USM,United States Cellular Corporation,3.05B,-0.56%,90961,3.91B
72,TEO,Telecom Argentina S.A.,2.84B,5.94%,86686,4.13B
73,LLYVK,Liberty Live Group - Series C,2.75B,0.37%,62204,-
74,GSAT,"Globalstar, Inc.",2.75B,-,1984585,223.81M
75,IDCC,"InterDigital, Inc.",2.66B,0.47%,131052,549.59M
76,TGNA,TEGNA Inc.,2.65B,1.00%,775791,2.91B
77,PLTK,Playtika Holding Corp.,2.62B,1.48%,319449,2.57B
78,YELP,Yelp Inc.,2.61B,0.29%,292955,1.34B
79,CABO,"Cable One, Inc.",2.61B,-1.01%,34597,1.68B
80,PLAY,"Dave & Buster's Entertainment, Inc.",2.51B,0.74%,279945,2.17B
