,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AMZN,"Amazon.com, Inc.","1,821.85B",1.23%,19224512,574.79B
1,TSLA,"Tesla, Inc.",565.43B,-4.12%,77807976,96.77B
2,HD,"The Home Depot, Inc.",372.77B,1.68%,1322162,152.67B
3,TM,Toyota Motor Corporation,324.49B,-2.12%,203734,308.27B
4,MCD,McDonald's Corporation,212.51B,-3.39%,3128606,25.49B
5,BABA,Alibaba Group Holding Limited,189.83B,1.14%,11155288,130.82B
6,PDD,PDD Holdings Inc.,156.99B,4.01%,9498230,27.31B
7,NKE,"NIKE, Inc.",151.78B,1.28%,4021648,51.54B
8,LOW,"Lowe's Companies, Inc.",139.63B,1.85%,1074686,86.38B
9,BKNG,Booking Holdings Inc.,119.60B,0.17%,123652,21.37B
10,TJX,"The TJX Companies, Inc.",110.80B,0.71%,1803238,54.22B
11,ABNB,"Airbnb, Inc.",106.10B,-0.32%,2770634,9.92B
12,SBUX,Starbucks Corporation,104.62B,-0.42%,4844570,36.69B
13,STLA,Stellantis N.V.,85.00B,-1.05%,2369038,210.60B
14,RACE,Ferrari N.V.,78.57B,0.12%,113205,6.63B
15,MELI,"MercadoLibre, Inc.",77.83B,0.38%,158880,14.47B
16,CMG,"Chipotle Mexican Grill, Inc.",74.58B,-0.28%,79451,9.87B
17,MAR,"Marriott International, Inc.",72.57B,0.87%,842712,23.71B
18,ORLY,"O'Reilly Automotive, Inc.",64.62B,0.62%,124081,15.81B
19,LULU,Lululemon Athletica Inc.,58.71B,0.81%,429825,9.19B
20,HMC,"Honda Motor Co., Ltd.",57.80B,-0.13%,395715,136.70B
21,CPRT,"Copart, Inc.",53.06B,2.11%,3902823,4.06B
22,AZO,"AutoZone, Inc.",52.97B,1.13%,93653,17.83B
23,HLT,Hilton Worldwide Holdings Inc.,52.20B,1.00%,618975,10.24B
24,DHI,"D.R. Horton, Inc.",51.31B,1.00%,939610,35.93B
25,ROST,"Ross Stores, Inc.",49.32B,0.74%,716494,20.38B
26,F,Ford Motor Company,48.12B,2.64%,31013849,176.19B
27,LEN,Lennar Corporation,45.76B,0.48%,1638758,34.23B
28,GM,General Motors Company,45.27B,2.50%,8942510,171.84B
29,JD,"JD.com, Inc.",42.85B,3.43%,19968098,152.98B
30,LVS,Las Vegas Sands Corp.,39.90B,1.06%,2036018,10.37B
