,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,WMT,Walmart Inc.,494.52B,-,5719442,648.13B
1,PG,The Procter & Gamble Company,381.02B,0.33%,2317070,83.93B
2,COST,Costco Wholesale Corporation,326.84B,-0.66%,1228102,248.83B
3,KO,The Coca-Cola Company,260.90B,0.96%,6885081,45.75B
4,PEP,"PepsiCo, Inc.",226.15B,0.47%,1995998,91.47B
5,FMX,"Fomento Económico Mexicano, SAB de CV",219.10B,1.70%,283687,34.56B
6,PM,Philip Morris International Inc.,146.97B,1.14%,1845203,35.17B
7,BUD,Anheuser-Busch InBev SA/NV,125.47B,1.98%,727953,59.38B
8,UL,Unilever PLC,124.39B,0.43%,1513237,66.90B
9,MDLZ,"Mondelez International, Inc.",96.60B,-0.05%,3402604,36.02B
10,DEO,Diageo plc,83.42B,0.66%,175629,21.66B
11,TGT,Target Corporation,77.36B,-1.31%,2435481,107.41B
12,MO,"Altria Group, Inc.",75.92B,0.70%,3797763,24.48B
13,CL,Colgate-Palmolive Company,73.06B,0.46%,1280232,19.46B
14,BTI,British American Tobacco p.l.c.,68.21B,1.00%,2685607,34.54B
15,MNST,Monster Beverage Corporation,62.65B,2.10%,2974644,7.14B
16,EL,The Estée Lauder Companies Inc.,54.52B,4.06%,2184941,15.16B
17,STZ,"Constellation Brands, Inc.",47.87B,0.96%,416424,9.82B
18,KMB,Kimberly-Clark Corporation,42.69B,0.57%,794784,20.43B
19,KHC,The Kraft Heinz Company,41.89B,-0.16%,7308019,26.64B
20,ABEV,Ambev S.A.,40.30B,-0.78%,9380225,16.37B
21,HSY,The Hershey Company,40.07B,0.63%,1020950,11.16B
22,SYY,Sysco Corporation,39.89B,0.79%,1077831,77.51B
23,KR,The Kroger Co.,39.82B,1.05%,2485448,150.04B
24,KDP,Keurig Dr Pepper Inc.,39.62B,-0.92%,6981407,14.81B
25,KVUE,Kenvue Inc.,38.56B,1.54%,10137482,15.44B
26,GIS,"General Mills, Inc.",37.32B,0.53%,1132033,20.20B
27,DG,Dollar General Corporation,35.39B,-2.82%,3228837,39.04B
28,CCEP,Coca-Cola Europacific Partners PLC,33.18B,1.30%,696066,20.34B
29,DLTR,"Dollar Tree, Inc.",32.61B,-14.41%,11490306,29.68B
30,ADM,Archer-Daniels-Midland Company,29.10B,3.22%,6492180,93.94B
31,BF.A,Brown-Forman Corporation,25.98B,0.13%,23074,4.26B
32,CHD,"Church & Dwight Co., Inc.",25.47B,0.90%,415993,5.87B
33,CELH,"Celsius Holdings, Inc.",21.20B,4.77%,3090795,1.32B
34,KOF,"Coca-Cola FEMSA, SAB de CV",20.71B,1.09%,84495,597.02M
35,TSN,"Tyson Foods, Inc.",19.77B,0.43%,1005535,52.94B
36,CLX,The Clorox Company,19.49B,0.07%,356098,7.31B
37,HRL,Hormel Foods Corporation,18.71B,0.64%,1052731,12.14B
38,MKC.V,"McCormick & Company, Incorporated",18.55B,0.35%,1237,6.66B
39,MKC,"McCormick & Company, Incorporated",18.50B,-0.09%,1024397,6.66B
40,K,Kellanova Co,18.40B,0.41%,1868531,13.12B
41,EDU,New Oriental Education & Technology Group Inc.,14.95B,5.33%,1251582,3.58B
42,LW,"Lamb Weston Holdings, Inc.",14.90B,0.40%,601370,6.35B
43,TAP.A,Molson Coors Beverage Company,13.93B,1.10%,7,11.70B
44,TAP,Molson Coors Beverage Company,13.93B,0.88%,679440,11.70B
45,BG,Bunge Limited,13.61B,1.20%,745339,59.54B
46,CAG,"Conagra Brands, Inc.",13.59B,-0.42%,1216453,12.17B
47,SJM,The J. M. Smucker Company,13.03B,0.78%,628675,8.21B
48,USFD,US Foods Holding Corp.,13.03B,1.88%,1022668,35.60B
49,CPB,Campbell Soup Company,12.82B,-0.24%,1283992,9.27B
50,ACI,"Albertsons Companies, Inc.",12.07B,-0.26%,1335666,79.16B
51,PFGC,Performance Food Group Company,11.73B,1.05%,298851,57.87B
52,ELF,"e.l.f. Beauty, Inc.",11.36B,0.34%,530216,890.15M
53,COTY,Coty Inc.,11.29B,0.28%,766525,6.01B
54,BJ,"BJ's Wholesale Club Holdings, Inc.",9.75B,0.91%,645427,19.97B
55,TAL,TAL Education Group,8.22B,0.85%,4474851,1.33B
56,PPC,Pilgrim's Pride Corporation,7.90B,-1.33%,623444,17.36B
57,BRBR,"BellRing Brands, Inc.",7.78B,1.92%,406291,1.73B
58,INGR,Ingredion Incorporated,7.73B,-0.85%,235436,8.16B
59,COKE,"Coca-Cola Consolidated, Inc.",7.69B,1.52%,25500,6.65B
60,DAR,Darling Ingredients Inc.,6.99B,2.95%,1298742,6.79B
61,SFM,"Sprouts Farmers Market, Inc.",6.35B,0.53%,455263,6.84B
62,POST,"Post Holdings, Inc.",6.30B,0.65%,131023,7.39B
63,BRFS,BRF S.A.,5.73B,0.59%,3460877,10.17B
64,LANC,Lancaster Colony Corporation,5.58B,-1.78%,64719,1.87B
65,FRPT,"Freshpet, Inc.",5.34B,2.10%,226281,766.90M
