,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,XOM,Exxon Mobil Corporation,429.80B,1.68%,10220935,344.58B
1,CVX,Chevron Corporation,282.10B,1.87%,4215724,200.95B
2,SHEL,Shell plc,207.38B,1.65%,3043578,386.20B
3,TTE,TotalEnergies SE,154.40B,2.47%,1845993,218.95B
4,COP,Conoco Phillips,135.31B,2.75%,3340481,58.57B
5,BP,BP p.l.c.,103.49B,1.84%,5384411,213.03B
6,PBR.A,Petróleo Brasileiro S.A. - Petrobras,99.53B,-0.84%,4081914,124.47B
7,PBR,Petróleo Brasileiro S.A. - Petrobras,95.94B,-1.10%,16816174,124.47B
8,CNQ,Canadian Natural Resources Limited,77.26B,2.72%,3432514,27.04B
9,ENB,Enbridge Inc.,76.71B,0.40%,1689935,32.82B
10,EQNR,Equinor ASA,75.83B,2.20%,1547933,150.81B
11,SLB,Schlumberger Limited,73.87B,1.89%,4667097,33.14B
12,EOG,"EOG Resources, Inc.",70.09B,1.85%,1522597,24.19B
13,MPC,Marathon Petroleum Corporation,65.48B,4.28%,1820786,150.31B
14,PSX,Phillips 66,64.33B,3.03%,1810544,149.89B
15,EPD,Enterprise Products Partners L.P.,61.48B,1.88%,3891372,49.72B
16,PXD,Pioneer Natural Resources Company,56.86B,1.63%,961019,19.36B
17,OXY,Occidental Petroleum Corporation,53.77B,1.95%,5314309,28.92B
18,E,Eni S.p.A.,51.30B,2.12%,107913,142.22B
19,ET,Energy Transfer LP,50.55B,0.77%,6644273,78.59B
20,VLO,Valero Energy Corporation,50.12B,5.95%,3112676,144.77B
21,OKE,"ONEOK, Inc.",45.28B,0.17%,1046234,17.68B
22,SU,Suncor Energy Inc.,45.12B,2.00%,1994782,38.15B
23,HES,Hess Corporation,45.04B,2.22%,1024961,10.65B
24,WMB,"The Williams Companies, Inc.",44.69B,1.67%,3609010,10.91B
25,TRP,TC Energy Corporation,42.26B,0.39%,1201215,11.98B
26,MPLX,MPLX LP,41.14B,0.65%,921007,11.28B
27,KMI,"Kinder Morgan, Inc.",39.82B,-,6500684,15.33B
28,LNG,"Cheniere Energy, Inc.",36.71B,0.59%,737228,20.39B
29,WDS,Woodside Energy Group Ltd,36.55B,0.84%,367011,13.99B
30,IMO,Imperial Oil Limited,35.48B,2.05%,186813,38.32B
31,CVE,Cenovus Energy Inc.,33.52B,3.21%,8923259,39.25B
32,FANG,"Diamondback Energy, Inc.",32.93B,2.08%,686564,8.41B
33,HAL,Halliburton Company,32.71B,-1.18%,9561977,23.02B
34,BKR,Baker Hughes Company,31.74B,0.56%,3134264,25.51B
35,DVN,Devon Energy Corporation,29.58B,2.50%,4895636,15.26B
36,TRGP,Targa Resources Corp.,23.55B,1.56%,503285,16.06B
37,CQP,"Cheniere Energy Partners, L.P.",23.50B,0.14%,82663,11.70B
38,TS,Tenaris S.A.,21.99B,2.11%,1771811,14.87B
39,EC,Ecopetrol S.A.,21.68B,1.42%,802961,32.91B
40,CTRA,Coterra Energy Inc.,19.93B,2.30%,3568233,5.91B
41,PBA,Pembina Pipeline Corporation,19.63B,1.12%,410934,6.86B
42,CCJ,Cameco Corporation,18.23B,-3.22%,3313303,1.95B
43,EQT,EQT Corporation,15.21B,-0.56%,5463719,6.91B
44,MRO,Marathon Oil Corporation,14.18B,3.42%,5788562,6.70B
45,OVV,Ovintiv Inc.,13.71B,1.85%,1500958,10.88B
46,WES,"Western Midstream Partners, LP",12.91B,-0.47%,526602,3.11B
47,TPL,Texas Pacific Land Corporation,12.36B,2.78%,19578,631.60M
48,PR,Permian Resources Corporation,12.35B,2.77%,7015083,3.12B
49,PAA,"Plains All American Pipeline, L.P.",11.74B,0.87%,1183920,48.71B
50,DINO,HF Sinclair Corporation,11.19B,5.86%,1764203,31.96B
51,CHK,Chesapeake Energy Corporation,10.95B,1.73%,1497998,8.72B
52,FTI,TechnipFMC plc,9.66B,2.76%,3357889,7.82B
53,APA,APA Corporation,9.48B,4.58%,3418821,8.19B
54,YPF,YPF SA,8.24B,3.71%,1608190,18.76B
55,HESM,Hess Midstream LP,8.10B,-0.10%,467083,1.35B
56,WFRD,Weatherford International plc,7.96B,1.92%,200921,5.14B
57,AR,Antero Resources Corporation,7.95B,1.07%,1834354,4.68B
58,RRC,Range Resources Corporation,7.88B,0.58%,879838,3.37B
59,SWN,Southwestern Energy Company,7.77B,1.77%,11256048,6.52B
60,MTDR,Matador Resources Company,7.76B,2.04%,525357,2.81B
61,CIVI,"Civitas Resources, Inc.",7.10B,1.94%,618120,3.48B
62,NOV,NOV Inc.,7.05B,3.67%,2607454,8.58B
63,CHRD,Chord Energy Corporation,6.73B,1.57%,470428,3.90B
64,AM,Antero Midstream Corporation,6.51B,0.84%,1260329,1.04B
65,NE,Noble Corporation,6.50B,2.77%,593226,2.59B
66,MUR,Murphy Oil Corporation,6.42B,3.46%,925203,3.46B
67,VNOM,Viper Energy Partners LP,6.41B,2.08%,648144,827.70M
68,UGP,Ultrapar Participações S.A.,6.29B,0.17%,746516,27.15B
69,CSAN,Cosan S.A.,6.25B,0.90%,112821,8.15B
70,CHX,ChampionX Corporation,6.19B,1.68%,411690,3.76B
71,PBF,PBF Energy Inc.,6.03B,10.51%,2542642,38.32B
72,ENLC,"EnLink Midstream, LLC",5.87B,0.43%,688596,6.90B
73,VVV,Valvoline Inc.,5.67B,0.87%,436294,1.48B
74,DTM,"DT Midstream, Inc.",5.67B,0.09%,310054,922.00M
75,SUN,Sunoco LP,5.28B,0.10%,106338,23.07B
76,SM,SM Energy Company,5.25B,2.56%,981474,2.37B
77,FRO,Frontline Ltd.,5.05B,3.79%,1298163,1.80B
78,VAL,Valaris Limited,4.97B,2.45%,305846,1.78B
79,ETRN,Equitrans Midstream Corporation,4.94B,-0.09%,10293499,1.39B
80,MGY,Magnolia Oil & Gas Corporation,4.87B,1.89%,1335581,1.23B
81,PTEN,"Patterson-UTI Energy, Inc.",4.80B,-3.87%,6828232,4.15B
82,NFG,National Fuel Gas Company,4.75B,0.87%,225125,2.04B
83,CPG,Crescent Point Energy Corp.,4.69B,2.31%,3484409,2.53B
84,RIG,Transocean Ltd.,4.39B,4.07%,12146945,2.83B
85,TDW,Tidewater Inc.,4.32B,4.17%,449938,1.01B
86,PAGP,"Plains GP Holdings, L.P.",4.06B,0.75%,700294,48.71B
87,NXE,NexGen Energy Ltd.,4.03B,-2.95%,5847728,-
88,HP,"Helmerich & Payne, Inc.",3.91B,2.37%,724506,2.83B
89,NOG,"Northern Oil and Gas, Inc.",3.73B,1.52%,412613,2.17B
90,VIST,"Vista Energy, SAB de CV",3.68B,2.16%,354718,1.17B
