,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,BRK.B,Berkshire Hathaway Inc.,876.78B,0.30%,1252069,439.34B
1,V,Visa Inc.,583.19B,0.52%,2343848,33.35B
2,JPM,JPMorgan Chase & Co.,546.81B,0.74%,3630852,158.10B
3,MA,Mastercard Incorporated,441.14B,0.42%,749893,25.10B
4,BAC,Bank of America Corporation,283.75B,0.65%,21301363,98.58B
5,WFC,Wells Fargo & Company,206.10B,0.63%,10558444,82.60B
6,AXP,American Express Company,161.17B,0.28%,983068,55.59B
7,BX,Blackstone Inc.,151.31B,1.63%,1746815,8.02B
8,HSBC,HSBC Holdings plc,144.69B,-0.26%,1216383,66.06B
9,HDB,HDFC Bank Limited,143.99B,-0.18%,1839747,13.76B
10,RY,Royal Bank of Canada,142.37B,0.25%,253134,40.69B
11,MS,Morgan Stanley,142.35B,2.66%,6151001,54.14B
12,SPGI,S&P Global Inc.,134.84B,0.10%,323625,12.50B
13,GS,"The Goldman Sachs Group, Inc.",126.38B,1.22%,1171668,46.25B
14,MUFG,"Mitsubishi UFJ Financial Group, Inc.",123.64B,-0.67%,938123,30.79B
15,BLK,"BlackRock, Inc.",123.56B,-0.09%,162736,17.86B
16,SCHW,The Charles Schwab Corporation,121.32B,0.68%,4161191,18.84B
17,PGR,The Progressive Corporation,116.51B,-0.07%,844478,62.11B
18,C,Citigroup Inc.,109.81B,0.76%,7917627,78.46B
19,TD,The Toronto-Dominion Bank,107.19B,0.41%,741968,36.86B
20,CB,Chubb Limited,104.58B,0.81%,600134,49.74B
21,MMC,"Marsh & McLennan Companies, Inc.",101.94B,0.06%,348380,22.74B
22,UBS,UBS Group AG,101.56B,0.16%,1498460,37.16B
23,IBN,ICICI Bank Limited,91.82B,-0.61%,2719034,22.65B
24,KKR,KKR & Co. Inc.,88.44B,0.16%,1074179,14.50B
25,ICE,"Intercontinental Exchange, Inc.",79.04B,0.26%,804479,9.90B
26,CME,CME Group Inc.,78.39B,0.40%,438800,5.58B
27,SMFG,"Sumitomo Mitsui Financial Group, Inc.",78.16B,-0.25%,598015,28.63B
28,MCO,Moody's Corporation,71.00B,0.39%,146345,5.92B
29,SAN,"Banco Santander, S.A.",69.88B,0.91%,1215195,62.99B
30,BMO,Bank of Montreal,68.66B,0.83%,168085,24.15B
31,ITUB,Itaú Unibanco Holding S.A.,68.58B,1.15%,13509439,21.85B
32,USB,U.S. Bancorp,67.33B,0.87%,2904827,25.74B
33,PYPL,"PayPal Holdings, Inc.",67.12B,4.19%,15169972,29.77B
34,BN,Brookfield Corporation,65.89B,-0.33%,550527,95.62B
35,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",65.23B,0.67%,514929,35.83B
36,AON,Aon plc,63.57B,-0.37%,242873,13.38B
37,APO,"Apollo Global Management, Inc.",62.38B,0.62%,731771,32.64B
38,BNS,The Bank of Nova Scotia,61.09B,0.46%,534815,24.42B
39,PNC,"The PNC Financial Services Group, Inc.",60.06B,1.10%,965905,21.49B
40,AJG,Arthur J. Gallagher & Co.,55.24B,-0.11%,279921,10.07B
41,NU,Nu Holdings Ltd.,54.38B,1.62%,12447797,8.03B
42,COF,Capital One Financial Corporation,53.35B,0.03%,964224,26.36B
43,MET,"MetLife, Inc.",51.83B,1.47%,1373002,66.91B
44,AIG,"American International Group, Inc.",51.68B,0.54%,1366726,46.80B
45,ING,ING Groep N.V.,50.86B,0.16%,2461866,24.63B
46,MFG,"Mizuho Financial Group, Inc.",50.76B,-0.75%,544880,15.13B
47,TRV,"The Travelers Companies, Inc.",50.51B,0.94%,348593,41.36B
48,TFC,Truist Financial Corporation,49.29B,-0.70%,2929993,21.28B
49,AFL,Aflac Incorporated,47.86B,1.53%,764911,18.70B
50,CM,Canadian Imperial Bank of Commerce,46.52B,0.41%,1090660,17.63B
51,IBKR,"Interactive Brokers Group, Inc.",45.47B,-0.47%,297652,4.34B
52,MSCI,MSCI Inc.,44.75B,-0.88%,105035,2.53B
53,MFC,Manulife Financial Corporation,43.21B,1.00%,1186634,25.32B
54,BSBR,Banco Santander (Brasil) S.A.,42.66B,0.35%,182333,65.86B
55,ALL,The Allstate Corporation,41.99B,-0.49%,632628,57.09B
56,ARES,Ares Management Corporation,41.65B,0.66%,325416,3.63B
57,BK,The Bank of New York Mellon Corporation,41.50B,0.58%,1917252,17.50B
58,AMP,"Ameriprise Financial, Inc.",41.42B,0.65%,157026,15.54B
