,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,717.33B,0.15%,1412555,34.12B
1,NVO,Novo Nordisk A/S,601.34B,-1.15%,5625648,34.41B
2,UNH,UnitedHealth Group Incorporated,451.15B,-0.24%,1753690,371.62B
3,JNJ,Johnson & Johnson,392.00B,-0.72%,3341756,85.16B
4,ABBV,AbbVie Inc.,319.80B,-0.09%,1826287,54.32B
5,MRK,"Merck & Co., Inc.",310.65B,-1.28%,4300810,60.12B
6,TMO,Thermo Fisher Scientific Inc.,227.74B,-0.75%,520637,42.86B
7,AZN,AstraZeneca PLC,209.94B,0.67%,3047524,45.81B
8,ABT,Abbott Laboratories,209.54B,-0.51%,1338109,40.11B
9,NVS,Novartis AG,203.77B,-0.56%,621215,46.66B
10,DHR,Danaher Corporation,187.00B,0.23%,786762,23.89B
11,PFE,Pfizer Inc.,157.38B,1.30%,24433532,58.50B
12,AMGN,Amgen Inc.,148.20B,0.16%,760459,28.19B
13,ISRG,"Intuitive Surgical, Inc.",138.02B,-1.49%,803105,7.12B
14,SYK,Stryker Corporation,136.28B,-0.12%,381035,20.50B
15,SNY,Sanofi,120.81B,-0.34%,515386,51.60B
16,ELV,Elevance Health Inc.,118.60B,0.65%,408050,171.34B
17,MDT,Medtronic plc,113.85B,-0.61%,2052427,32.32B
18,BMY,Bristol-Myers Squibb Company,110.01B,-2.01%,11029769,45.01B
19,VRTX,Vertex Pharmaceuticals Incorporated,107.06B,0.15%,380655,9.87B
20,REGN,"Regeneron Pharmaceuticals, Inc.",106.49B,-0.10%,157700,13.12B
21,CI,Cigna Corporation,100.55B,1.00%,753011,195.27B
22,BSX,Boston Scientific Corporation,99.01B,-1.30%,3047854,14.24B
23,CVS,CVS Health Corporation,94.65B,-0.47%,2902994,357.78B
24,GILD,"Gilead Sciences, Inc.",93.53B,0.93%,2607216,27.12B
25,GSK,GSK plc,87.59B,0.10%,1096919,38.39B
26,HCA,"HCA Healthcare, Inc.",85.58B,-0.40%,466663,64.97B
27,ZTS,Zoetis Inc.,83.03B,-2.31%,2929273,8.54B
28,MCK,McKesson Corporation,69.81B,-1.20%,330828,301.51B
29,BDX,"Becton, Dickinson and Company",68.71B,0.57%,449116,19.49B
30,EW,Edwards Lifesciences Corporation,54.66B,2.41%,3471163,6.00B
31,DXCM,"DexCom, Inc.",52.19B,-1.61%,1316655,3.62B
32,IQV,IQVIA Holdings Inc.,47.16B,-0.77%,276135,14.98B
33,TAK,Takeda Pharmaceutical Company Limited,45.74B,0.24%,725605,29.40B
34,IDXX,"IDEXX Laboratories, Inc.",45.44B,-0.71%,124253,3.66B
35,ALC,Alcon Inc.,43.47B,-0.32%,1529943,9.46B
36,A,"Agilent Technologies, Inc.",43.33B,0.19%,534609,6.74B
37,MRNA,"Moderna, Inc.",42.19B,-3.35%,2142991,6.85B
38,GEHC,GE HealthCare Technologies Inc.,41.81B,-3.40%,11407587,19.55B
39,HUM,Humana Inc.,41.61B,0.23%,615260,106.37B
40,CNC,Centene Corporation,41.05B,0.22%,1090744,154.00B
41,HLN,Haleon plc,39.99B,-0.75%,1911067,14.31B
42,COR,Cencora,38.52B,-1.25%,633954,271.58B
43,VEEV,Veeva Systems Inc.,37.20B,1.36%,362771,2.36B
44,BIIB,Biogen Inc.,33.05B,-0.22%,553569,9.84B
45,RMD,ResMed Inc.,28.50B,-0.43%,404882,4.50B
46,CAH,"Cardinal Health, Inc.",28.12B,-3.58%,1741208,216.15B
47,ICLR,ICON PLC,27.91B,-1.53%,299107,8.12B
48,WST,"West Pharmaceutical Services, Inc.",27.71B,1.29%,288331,2.95B
49,MTD,Mettler-Toledo International Inc.,27.67B,1.13%,68700,3.79B
50,ZBH,"Zimmer Biomet Holdings, Inc.",26.29B,-0.95%,338152,7.39B
51,MOH,"Molina Healthcare, Inc.",23.51B,0.82%,142788,34.07B
52,ARGX,argenx SE,23.35B,-2.28%,151783,39.48M
53,ALGN,"Align Technology, Inc.",23.33B,3.91%,441040,3.86B
54,STE,STERIS plc,23.10B,-0.07%,166625,5.41B
55,BNTX,BioNTech SE,22.76B,-2.23%,388101,7.04B
56,BAX,Baxter International Inc.,21.78B,-0.77%,1128295,14.81B
57,ILMN,"Illumina, Inc.",21.09B,-0.43%,816173,4.50B
58,WAT,Waters Corporation,20.92B,-0.61%,116172,2.96B
59,GMAB,Genmab A/S,20.51B,-0.02%,253257,2.44B
60,COO,"The Cooper Companies, Inc.",20.18B,0.55%,486373,3.67B
61,BGNE,"BeiGene, Ltd.",19.98B,8.47%,399320,2.46B
62,PHG,Koninklijke Philips N.V.,19.31B,1.26%,509471,20.19B
63,ALNY,"Alnylam Pharmaceuticals, Inc.",18.47B,1.57%,353968,1.83B
64,WBA,"Walgreens Boots Alliance, Inc.",18.34B,-0.42%,4541375,142.41B
65,LH,Laboratory Corporation of America Holdings,18.24B,-0.68%,207152,12.16B
66,RPRX,Royalty Pharma plc,18.13B,-1.22%,811907,2.35B
67,HOLX,"Hologic, Inc.",17.76B,0.74%,697114,3.97B
68,BMRN,BioMarin Pharmaceutical Inc.,16.07B,-0.47%,340581,2.42B
69,TEVA,Teva Pharmaceutical Industries Limited,15.28B,1.22%,4780199,15.85B
70,DGX,Quest Diagnostics Incorporated,14.36B,-0.51%,369143,9.25B
71,VTRS,Viatris Inc.,14.30B,0.58%,4460524,15.43B
72,NBIX,"Neurocrine Biosciences, Inc.",13.71B,1.55%,356491,1.89B
73,CRL,"Charles River Laboratories International, Inc.",13.56B,-1.02%,341636,4.13B
74,RVTY,"Revvity, Inc.",13.44B,-0.96%,297224,2.75B
75,INCY,Incyte Corporation,13.32B,-0.76%,645570,3.70B
76,BRKR,Bruker Corporation,12.76B,-0.02%,266174,2.96B
77,RDY,Dr. Reddy's Laboratories Limited,12.76B,-1.49%,76055,2.99B
78,PODD,Insulet Corporation,12.71B,-2.90%,266051,1.70B
79,MEDP,"Medpace Holdings, Inc.",12.58B,-0.57%,118078,1.89B
80,KRTX,"Karuna Therapeutics, Inc.",12.30B,-0.12%,443361,654.00K
81,SNN,Smith & Nephew plc,12.30B,-0.43%,265583,5.55B
82,DVA,DaVita Inc.,12.16B,-1.32%,515896,12.14B
83,FMS,Fresenius Medical Care AG & Co. KGaA,11.95B,-0.40%,449229,21.62B
84,LEGN,Legend Biotech Corporation,11.95B,3.78%,1526581,285.14M
85,UHS,"Universal Health Services, Inc.",11.74B,-0.23%,190200,14.28B
86,TECH,Bio-Techne Corporation,11.65B,-2.06%,445057,1.14B
87,UTHR,United Therapeutics Corporation,11.62B,-1.89%,272801,2.33B
88,SRPT,"Sarepta Therapeutics, Inc.",11.45B,-0.43%,275624,1.24B
89,EXAS,Exact Sciences Corporation,11.02B,0.79%,691790,2.50B
90,NTRA,"Natera, Inc.",10.82B,-1.31%,363233,1.08B
91,RGEN,Repligen Corporation,10.75B,0.68%,184820,638.76M
92,TFX,Teleflex Incorporated,10.68B,-1.20%,52759,2.97B
93,CTLT,"Catalent, Inc.",10.21B,-0.04%,1292676,4.10B
94,THC,Tenet Healthcare Corporation,10.00B,0.25%,892349,20.56B
95,SWAV,"ShockWave Medical, Inc.",9.90B,2.17%,200676,730.23M
96,QGEN,Qiagen N.V.,9.88B,-0.68%,393557,1.97B
97,CHE,Chemed Corporation,9.73B,0.56%,34259,2.26B
98,BIO,"Bio-Rad Laboratories, Inc.",9.59B,-0.65%,63214,2.67B
99,BIO.B,"Bio-Rad Laboratories, Inc.",9.59B,1.70%,7,-
100,HSIC,"Henry Schein, Inc.",9.56B,1.62%,440398,12.34B
101,ATR,"AptarGroup, Inc.",9.40B,-0.61%,106807,3.49B
102,PEN,"Penumbra, Inc.",9.26B,-1.30%,182780,1.06B
103,ASND,Ascendis Pharma A/S,8.69B,-0.63%,128369,296.35M
104,ROIV,Roivant Sciences Ltd.,8.29B,2.19%,3407841,123.24M
105,ELAN,Elanco Animal Health Incorporated,7.77B,0.98%,1863320,4.42B
106,PCVX,"Vaxcyte, Inc.",7.74B,2.25%,232379,-
107,EHC,Encompass Health Corporation,7.71B,-1.29%,299117,4.80B
108,CERE,"Cerevel Therapeutics Holdings, Inc.",7.59B,0.59%,1027543,-
109,STVN,Stevanato Group S.p.A.,7.58B,3.24%,120925,1.21B
110,VKTX,"Viking Therapeutics, Inc.",7.57B,4.49%,3137910,-
111,GMED,"Globus Medical, Inc.",7.48B,0.43%,252721,1.57B
112,ACHC,"Acadia Healthcare Company, Inc.",7.43B,-2.14%,1045635,2.93B
113,JAZZ,Jazz Pharmaceuticals plc,7.22B,1.15%,187588,3.83B
114,HQY,"HealthEquity, Inc.",7.15B,1.30%,202258,971.04M
115,ENSG,"The Ensign Group, Inc.",7.06B,-0.91%,76137,3.73B
116,APLS,"Apellis Pharmaceuticals, Inc.",7.05B,-1.63%,429418,396.59M
117,XRAY,DENTSPLY SIRONA Inc.,6.97B,1.79%,897904,3.97B
118,EXEL,"Exelixis, Inc.",6.88B,1.26%,1078021,1.83B
119,MASI,Masimo Corporation,6.83B,3.13%,231824,2.05B
120,CYTK,"Cytokinetics, Incorporated",6.65B,-0.86%,975217,7.53M
121,IONS,"Ionis Pharmaceuticals, Inc.",6.26B,0.22%,335630,787.65M
122,ITCI,"Intra-Cellular Therapies, Inc.",6.23B,1.01%,249387,464.37M
123,CRSP,CRISPR Therapeutics AG,6.04B,-0.81%,794258,371.21M
124,RCM,R1 RCM Inc.,5.90B,-0.78%,1595628,2.25B
125,INSP,"Inspire Medical Systems, Inc.",5.73B,-1.02%,129381,624.80M
126,OPCH,"Option Care Health, Inc.",5.68B,-1.41%,276408,4.30B
127,BLCO,Bausch + Lomb Corporation,5.66B,-0.50%,158728,4.15B
128,NUVL,"Nuvalent, Inc.",5.58B,1.61%,474340,-
129,RVMD,"Revolution Medicines, Inc.",5.53B,-0.92%,1076538,11.58M
130,BPMC,Blueprint Medicines Corporation,5.42B,1.24%,160743,249.38M
131,GRFS,"Grifols, S.A.",5.34B,-,1037972,6.45B
132,HALO,"Halozyme Therapeutics, Inc.",5.32B,-0.50%,449083,829.25M
133,BBIO,"BridgeBio Pharma, Inc.",5.29B,-1.08%,411190,9.30M
134,MDGL,"Madrigal Pharmaceuticals, Inc.",5.23B,1.94%,408598,-
135,DOCS,"Doximity, Inc.",5.17B,0.43%,324061,468.33M
136,KRYS,"Krystal Biotech, Inc.",5.06B,0.95%,231543,50.70M
137,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,4.78B,1.93%,688974,-
138,ALKS,Alkermes plc,4.78B,0.86%,626760,1.66B
139,OGN,Organon & Co.,4.67B,0.27%,914249,6.26B
140,TXG,"10x Genomics, Inc.",4.67B,-1.63%,531434,618.73M
141,IMVT,"Immunovant, Inc.",4.58B,0.29%,593996,-
142,GKOS,Glaukos Corporation,4.35B,1.27%,110576,314.71M
143,MMSI,"Merit Medical Systems, Inc.",4.28B,-1.15%,159519,1.26B
144,LNTH,"Lantheus Holdings, Inc.",4.23B,-1.72%,280449,1.30B
145,PRGO,Perrigo Company plc,4.14B,1.31%,1008959,4.66B
146,IOVA,"Iovance Biotherapeutics, Inc.",4.11B,-0.95%,3454446,1.19M
147,ALVO,Alvotech,4.10B,0.39%,42844,63.75M
148,INSM,Insmed Incorporated,4.06B,0.99%,345060,305.21M
149,SHC,Sotera Health Company,3.94B,0.73%,509618,1.05B
150,RARE,Ultragenyx Pharmaceutical Inc.,3.92B,2.71%,405427,434.25M
151,HAE,Haemonetics Corporation,3.90B,-0.14%,76512,1.27B
152,EVH,"Evolent Health, Inc.",3.84B,0.83%,250822,1.96B
153,ITGR,Integer Holdings Corporation,3.79B,0.44%,55276,1.60B
154,CBAY,"CymaBay Therapeutics, Inc.",3.72B,-0.02%,2387393,31.07M
155,NVST,Envista Holdings Corporation,3.69B,1.47%,1686536,2.57B
156,PBH,Prestige Consumer Healthcare Inc.,3.68B,0.53%,73894,1.13B
157,SEM,Select Medical Holdings Corporation,3.67B,-0.10%,119689,6.66B
158,SWTX,"SpringWorks Therapeutics, Inc.",3.67B,2.45%,288763,5.45M
159,SGRY,"Surgery Partners, Inc.",3.66B,-3.25%,353914,2.74B
160,ACLX,"Arcellx, Inc.",3.61B,2.47%,253954,110.32M
161,AZTA,"Azenta, Inc.",3.61B,-0.45%,176164,641.02M
162,ARWR,"Arrowhead Pharmaceuticals, Inc.",3.54B,0.05%,547003,181.74M
163,FOLD,"Amicus Therapeutics, Inc.",3.48B,-0.25%,745810,399.36M
164,PGNY,"Progyny, Inc.",3.48B,2.41%,383820,1.09B
165,NEOG,Neogen Corporation,3.46B,-0.79%,553425,918.68M
166,AXNX,"Axonics, Inc.",3.45B,0.31%,300146,366.38M
167,RDNT,"RadNet, Inc.",3.39B,-1.88%,220945,1.62B
168,IBRX,"ImmunityBio, Inc.",3.39B,-0.89%,1772516,556.00K
169,BHC,Bausch Health Companies Inc.,3.36B,1.03%,577468,8.76B
170,OSCR,"Oscar Health, Inc.",3.35B,-0.45%,2372297,5.86B
171,XENE,Xenon Pharmaceuticals Inc.,3.34B,1.07%,169473,-
172,IDYA,"IDEAYA Biosciences, Inc.",3.34B,1.16%,130128,23.39M
