,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GE,General Electric Company,181.27B,1.94%,3089351,67.95B
1,CAT,Caterpillar Inc.,168.41B,1.37%,999583,67.06B
2,UNP,Union Pacific Corporation,153.16B,-0.50%,1175300,24.12B
3,UPS,"United Parcel Service, Inc.",134.19B,-0.22%,1892007,90.96B
4,HON,Honeywell International Inc.,129.87B,0.58%,1170085,36.66B
5,RTX,RTX Corp,120.24B,0.16%,2468465,68.92B
6,ETN,Eaton Corporation plc,118.95B,0.71%,778076,23.20B
7,BA,The Boeing Company,112.41B,-0.54%,6964341,77.79B
8,LMT,Lockheed Martin Corporation,105.09B,0.03%,507922,67.57B
9,DE,Deere & Company,103.73B,1.84%,745858,60.79B
10,ADP,"Automatic Data Processing, Inc.",100.51B,0.07%,618710,18.59B
11,CP,Canadian Pacific Railway Limited,84.54B,0.93%,781580,9.44B
12,WM,"Waste Management, Inc.",84.25B,0.39%,503953,20.43B
13,CNI,Canadian National Railway Company,83.45B,0.04%,301574,12.65B
14,ITW,Illinois Tool Works Inc.,78.55B,0.29%,464843,16.11B
15,GD,General Dynamics Corporation,75.25B,0.13%,315119,42.27B
16,CSX,CSX Corporation,74.09B,-,6839453,14.66B
17,TRI,Thomson Reuters Corporation,71.57B,-0.79%,259873,6.79B
18,PH,Parker-Hannifin Corporation,69.12B,0.30%,194674,19.83B
19,NOC,Northrop Grumman Corporation,68.84B,0.25%,270717,39.29B
20,TDG,TransDigm Group Incorporated,65.79B,0.43%,82102,6.98B
21,TT,Trane Technologies plc,65.33B,0.19%,434370,17.68B
22,CTAS,Cintas Corporation,63.53B,-0.64%,172525,9.19B
23,FDX,FedEx Corporation,63.53B,0.89%,727568,87.95B
24,EMR,Emerson Electric Co.,63.23B,-,773611,15.91B
25,PCAR,PACCAR Inc,60.13B,0.76%,741111,35.13B
26,ROP,"Roper Technologies, Inc.",59.42B,-0.93%,158059,6.18B
27,NSC,Norfolk Southern Corporation,58.91B,0.81%,517985,12.16B
28,RSG,"Republic Services, Inc.",58.34B,0.13%,382482,14.96B
29,MMM,3M Company,54.56B,4.24%,6416418,32.68B
30,CARR,Carrier Global Corporation,52.48B,0.89%,2386285,22.10B
31,ODFL,"Old Dominion Freight Line, Inc.",48.00B,-0.61%,175232,5.87B
32,GWW,"W.W. Grainger, Inc.",47.82B,0.26%,131158,16.48B
33,URI,"United Rentals, Inc.",45.39B,-0.20%,225573,14.33B
34,PAYX,"Paychex, Inc.",44.13B,0.47%,797216,5.15B
35,WCN,"Waste Connections, Inc.",43.49B,0.59%,270657,8.02B
36,FAST,Fastenal Company,43.08B,0.26%,1323921,7.35B
37,JCI,Johnson Controls International plc,42.25B,0.42%,2112474,26.82B
38,AME,"AMETEK, Inc.",42.04B,-0.07%,222365,6.60B
39,FERG,Ferguson plc,41.32B,1.17%,848667,29.36B
40,LHX,"L3Harris Technologies, Inc.",40.60B,0.60%,282267,19.42B
41,OTIS,Otis Worldwide Corporation,39.39B,0.68%,967410,14.21B
42,CMI,Cummins Inc.,38.27B,-0.58%,3699742,34.07B
43,IR,Ingersoll Rand Inc.,36.66B,-0.15%,913077,6.88B
