,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LIN,Linde plc,227.05B,1.17%,1811035,32.85B
1,BHP,BHP Group Limited,142.44B,1.96%,2316004,55.34B
2,RIO,Rio Tinto Group,102.45B,1.09%,3568352,54.04B
3,SHW,The Sherwin-Williams Company,87.08B,-1.26%,1196989,23.05B
4,SCCO,Southern Copper Corporation,67.65B,11.07%,2191199,9.90B
5,ECL,Ecolab Inc.,63.83B,0.71%,378491,15.32B
6,CRH,CRH plc,59.24B,0.97%,1498896,34.95B
7,FCX,Freeport-McMoRan Inc.,57.89B,7.76%,16092813,22.86B
8,VALE,Vale S.A.,54.80B,0.70%,44593758,43.84B
9,APD,"Air Products and Chemicals, Inc.",54.43B,1.15%,693677,12.42B
10,NUE,Nucor Corporation,44.03B,0.84%,1023216,34.71B
11,DOW,Dow Inc.,41.06B,1.07%,2264571,44.62B
12,NEM,Newmont Corporation,39.05B,1.34%,7997614,11.81B
13,CTVA,"Corteva, Inc.",38.68B,0.87%,1044955,17.23B
14,MLM,"Martin Marietta Materials, Inc.",37.29B,0.51%,114701,6.78B
15,VMC,Vulcan Materials Company,35.65B,0.15%,213468,7.78B
16,PPG,"PPG Industries, Inc.",33.26B,0.60%,600735,18.25B
17,LYB,LyondellBasell Industries N.V.,32.62B,1.07%,1496574,41.11B
18,DD,"DuPont de Nemours, Inc.",30.08B,2.40%,1307614,12.07B
19,AEM,Agnico Eagle Mines Limited,27.54B,2.03%,2433633,6.63B
20,GOLD,Barrick Gold Corporation,27.50B,2.05%,13452242,11.40B
21,NTR,Nutrien Ltd.,26.22B,1.54%,1052302,29.06B
22,PKX,POSCO Holdings Inc.,25.82B,0.03%,28416,59.55B
23,MT,ArcelorMittal S.A.,22.00B,-0.30%,1238569,68.28B
24,TECK,Teck Resources Limited,21.83B,8.61%,5909078,11.29B
25,FNV,Franco-Nevada Corporation,21.80B,2.11%,431874,1.22B
26,STLD,"Steel Dynamics, Inc.",20.77B,2.17%,540065,18.80B
27,IFF,International Flavors & Fragrances Inc.,20.73B,1.43%,740168,11.48B
28,WPM,Wheaton Precious Metals Corp.,20.22B,2.17%,1006220,938.63M
29,RS,Reliance Steel & Aluminum Co.,18.44B,0.61%,111652,14.81B
30,WLK,Westlake Corporation,18.13B,1.83%,144735,12.55B
31,JHX,James Hardie Industries plc,17.48B,1.57%,16844,3.85B
32,AVTR,"Avantor, Inc.",17.34B,-0.68%,1748511,6.97B
33,CE,Celanese Corporation,17.05B,0.61%,176644,10.94B
34,CF,"CF Industries Holdings, Inc.",16.03B,0.40%,856284,6.63B
35,SUZ,Suzano S.A.,15.29B,0.34%,467759,8.16B
36,RPM,RPM International Inc.,15.24B,0.04%,171557,7.34B
37,ALB,Albemarle Corporation,14.56B,1.57%,1113526,9.62B
38,SQM,Sociedad Química y Minera de Chile S.A.,14.15B,1.80%,467148,10.71B
39,GFI,Gold Fields Limited,13.38B,3.84%,3024317,4.29B
40,CX,"CEMEX, SAB de CV",11.67B,0.43%,1813799,15.58B
41,EMN,Eastman Chemical Company,10.80B,0.91%,507510,9.21B
42,X,United States Steel Corporation,10.48B,-11.19%,26761041,18.05B
43,CLF,Cleveland-Cliffs Inc.,10.20B,-0.88%,11130203,22.00B
44,MOS,The Mosaic Company,10.09B,2.07%,2106572,13.70B
45,AU,AngloGold Ashanti Limited,9.30B,3.43%,1268540,4.50B
46,EXP,Eagle Materials Inc.,8.77B,-0.55%,232877,2.25B
47,FMC,FMC Corporation,7.97B,3.51%,1350605,4.49B
