,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,PLD,"Prologis, Inc.",124.46B,-0.31%,1049742,8.02B
1,AMT,American Tower Corporation,95.22B,-0.51%,655756,11.14B
2,EQIX,"Equinix, Inc.",84.48B,-1.82%,359053,8.19B
3,SPG,"Simon Property Group, Inc.",56.45B,1.15%,520458,5.66B
4,WELL,Welltower Inc.,52.83B,0.17%,1093635,6.64B
5,PSA,Public Storage,51.19B,0.29%,336374,4.52B
6,CCI,Crown Castle Inc.,48.18B,-0.22%,766186,6.98B
7,DLR,"Digital Realty Trust, Inc.",46.61B,-0.41%,739227,5.48B
8,O,Realty Income Corporation,45.54B,-0.49%,3830626,4.08B
9,CSGP,"CoStar Group, Inc.",35.58B,1.29%,557880,2.46B
10,EXR,Extra Space Storage Inc.,32.95B,-0.57%,394752,2.56B
11,VICI,VICI Properties Inc.,30.81B,-,1803598,3.61B
12,CBRE,"CBRE Group, Inc.",28.66B,0.73%,395747,31.95B
13,AVB,"AvalonBay Communities, Inc.",26.11B,1.21%,189145,2.77B
14,WY,Weyerhaeuser Company,25.15B,0.58%,974564,7.67B
15,SBAC,SBA Communications Corporation,23.82B,0.32%,312023,2.71B
16,EQR,Equity Residential,23.66B,1.64%,633574,2.87B
17,IRM,Iron Mountain Incorporated,23.64B,-0.61%,660056,5.48B
18,ARE,"Alexandria Real Estate Equities, Inc.",22.03B,0.28%,330346,2.89B
19,INVH,Invitation Homes Inc.,21.58B,0.37%,632041,2.43B
20,KSPI,Joint Stock Company Kaspi.kz,21.00B,0.66%,232081,4.25B
21,BEKE,KE Holdings Inc.,18.03B,-0.55%,9167152,10.22B
22,VTR,"Ventas, Inc.",17.56B,-0.28%,843088,4.50B
23,SUI,"Sun Communities, Inc.",17.30B,0.32%,255433,3.22B
24,ESS,"Essex Property Trust, Inc.",15.99B,0.55%,98633,1.67B
25,MAA,"Mid-America Apartment Communities, Inc.",15.78B,0.51%,259245,2.15B
26,AMH,American Homes 4 Rent,15.47B,0.38%,720359,1.62B
27,HST,"Host Hotels & Resorts, Inc.",14.95B,-0.14%,2426124,5.31B
28,UDR,"UDR, Inc.",13.18B,1.51%,1186784,1.63B
29,KIM,Kimco Realty Corporation,13.02B,0.83%,1732870,1.78B
30,ELS,"Equity LifeStyle Properties, Inc.",12.90B,1.33%,413121,1.49B
31,GLPI,"Gaming and Leisure Properties, Inc.",12.66B,-0.20%,460007,1.44B
32,WPC,W. P. Carey Inc.,12.50B,-0.49%,502849,1.74B
33,DOC,"Healthpeak Properties, Inc.",12.26B,-0.43%,2557729,2.18B
34,LAMR,Lamar Advertising Company,11.92B,0.88%,122015,2.11B
35,REXR,"Rexford Industrial Realty, Inc.",11.76B,0.17%,426524,797.83M
36,REG,Regency Centers Corporation,11.27B,0.33%,349991,1.32B
37,CPT,Camden Property Trust,10.50B,1.58%,312102,1.56B
38,CUBE,CubeSmart,10.30B,0.09%,405646,1.05B
39,BXP,"Boston Properties, Inc.",10.06B,1.23%,318048,3.27B
40,NLY,"Annaly Capital Management, Inc.",9.89B,0.96%,1544812,-1.44B
