,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,MSFT,Microsoft Corporation,"3,085.71B",0.28%,9891927,227.58B
1,AAPL,Apple Inc,"2,675.00B",-0.89%,31970976,385.71B
2,NVDA,NVIDIA Corporation,"2,297.83B",-1.66%,48323583,60.92B
3,TSM,Taiwan Semiconductor Manufacturing Company Limited,735.41B,-1.50%,8705274,70.35B
4,AVGO,Broadcom Inc.,598.68B,-1.84%,1652516,38.87B
5,ASML,ASML Holding N.V.,403.75B,-1.34%,536228,30.62B
6,ORCL,Oracle Corporation,350.60B,-1.40%,10825104,52.51B
7,AMD,"Advanced Micro Devices, Inc.",327.62B,-3.57%,54320820,22.68B
8,CRM,"Salesforce, Inc.",297.42B,0.17%,2403421,34.86B
9,ADBE,Adobe Inc.,262.09B,0.33%,2103492,19.41B
10,ACN,Accenture plc,238.56B,0.03%,758277,64.59B
11,SAP,SAP SE,224.27B,-0.52%,474472,34.10B
12,CSCO,"Cisco Systems, Inc.",202.74B,-0.20%,7412101,57.23B
13,QCOM,QUALCOMM Incorporated,193.16B,-1.94%,4044083,36.29B
14,INTC,Intel Corporation,191.27B,-3.34%,28989515,54.23B
15,INTU,Intuit Inc.,185.53B,-0.36%,405012,15.09B
16,IBM,International Business Machines Corporation,181.31B,-0.58%,2056734,61.86B
17,AMAT,"Applied Materials, Inc.",170.28B,-1.68%,2127511,26.49B
18,UBER,"Uber Technologies, Inc.",162.63B,0.20%,6998858,37.28B
19,NOW,"ServiceNow, Inc.",162.60B,-0.45%,593034,8.97B
20,TXN,Texas Instruments Incorporated,159.08B,-1.22%,2271484,17.52B
21,LRCX,Lam Research Corporation,124.66B,-2.55%,456611,14.32B
22,SONY,Sony Group Corporation,107.66B,0.27%,280792,88.88B
23,MU,"Micron Technology, Inc.",107.54B,-3.65%,9488619,16.18B
24,ADI,"Analog Devices, Inc.",98.78B,-0.30%,1574524,11.57B
25,SHOP,Shopify Inc.,98.45B,2.76%,5352285,7.06B
26,KLAC,KLA Corporation,94.45B,-1.22%,436882,9.67B
27,PANW,"Palo Alto Networks, Inc.",92.00B,2.56%,3617285,7.53B
28,FI,"Fiserv, Inc.",88.94B,0.46%,923095,19.09B
29,SNPS,"Synopsys, Inc.",87.98B,-2.20%,519737,6.13B
30,ANET,"Arista Networks, Inc.",87.21B,-0.31%,1167501,5.86B
